"Variant SKU","Selling Price",LandingPage
JERORIM-30B,145.00,https://fragrancebuy.ca/products/jeroboamoriento-man?variant=39888050257982
JERORIGM-30B,145.00,https://fragrancebuy.ca/products/jeroboamorigino-man?variant=39888046915646
KILHERVERM-50B,249.00,https://fragrancebuy.ca/products/kilianlheureverte-man?variant=39888041050174
HARH24EDPM-100B,129.95,https://fragrancebuy.ca/products/hermesh24edpedition-man?variant=39888039608382
HERH24EDPM-50B,95.00,https://fragrancebuy.ca/products/hermesh24edpedition-man?variant=39888040362046
PRAPARW-50B,115.00,https://fragrancebuy.ca/products/pradaparadoxe-woman?variant=39888031580222
LATSHGOLDEDPM-100B,49.95,https://fragrancebuy.ca/products/lattafashaheengold-man?variant=39888026894398
DUSMONM-50T,129.95,https://fragrancebuy.ca/products/dusitamontri-man?variant=39885517881406
LATSHSIEDPM-100B,49.95,https://fragrancebuy.ca/products/lattafashaheensilver-man?variant=39885514932286
DUSANAMCM-100B,189.00,https://fragrancebuy.ca/products/dusitaanamcara-man?variant=39885510967358
DUSANAMCM-50B,149.00,https://fragrancebuy.ca/products/dusitaanamcara-man?variant=39885509754942
DUSCAVTW-50B,149.00,https://fragrancebuy.ca/products/dusitacavatina-woman?variant=39885506969662
DUSCAVTW-50T,129.95,https://fragrancebuy.ca/products/dusitacavatina-woman?variant=39885517914174
DUSMELDLAM-50B,249.00,https://fragrancebuy.ca/products/dusitamelodiedelamour-man?variant=39885502742590
PCSUCREMIREDPM-100B,49.95,https://fragrancebuy.ca/products/pariscornersupercrushemir-man?variant=39879227998270
PCCESEMEDPM-100B,39.95,https://fragrancebuy.ca/products/pariscornercedratessenceemir-man?variant=39879226622014
ADPMINFIEDPW-100B,189.95,https://fragrancebuy.ca/products/acquadiparmamagnoliainfinita-woman?variant=39879200014398
ADPLOTVEDPM-100T,153.95,https://fragrancebuy.ca/products/acquadiparmalilyofthevalley-man?variant=39879177895998
CNSIPREDEDM-100B,95.00,https://fragrancebuy.ca/products/costumenationalscentintenseparfumrededition-man?variant=39879158988862
CNSNUDEDPW-100B,75.00,https://fragrancebuy.ca/products/costumenationalsonude-woman?variant=39879150338110
CNSNUDEDPW-100T,55.00,https://fragrancebuy.ca/products/costumenationalsonude-woman?variant=39879156727870
CNSCEDPW-100B,65.00,https://fragrancebuy.ca/products/costumenationalscent-woman?variant=39878581715006
CNSCEDPW-50B,49.95,https://fragrancebuy.ca/products/costumenationalscent-woman?variant=39878581387326
CNSEDPW-100T,48.00,https://fragrancebuy.ca/products/costumenationalscent-woman?variant=39878581977150
BVPPROSAVIM-100B,259.00,https://fragrancebuy.ca/products/bottegavenetaparcopalladianorosavi-man?variant=39878485540926
XERTOR21M-50B,189.00,https://fragrancebuy.ca/products/assortedfragrancesspecialorderspo?variant=39876186898494
XERGGPARM-50B,229.00,https://fragrancebuy.ca/products/assortedfragrancesspecialorderspo?variant=39876161667134
XERGMOKPARM-50B,229.00,https://fragrancebuy.ca/products/assortedfragrancesspecialorderspo?variant=39876178542654
XERTOR21M-50B,219.00,https://fragrancebuy.ca/products/xerjofftorino21-man?variant=39876150526014
XERGMOKPARM-50B,229.00,https://fragrancebuy.ca/products/xerjoffgoldenmoka-man?variant=39876146757694
XERGGPARM-50B,229.00,https://fragrancebuy.ca/products/xerjoffgoldengreen-man?variant=39876121002046
PRFAMEEDPW-200B,175.00,https://fragrancebuy.ca/products/pacorabannefame-woman?variant=39888032890942
PRFAMEEDPW-30B,81.95,https://fragrancebuy.ca/products/pacorabannefame-woman?variant=39888033480766
PRFAMEEDPW-50B,109.95,https://fragrancebuy.ca/products/pacorabannefame-woman?variant=39888033054782
PRFAMEEDPW-80B,139.95,https://fragrancebuy.ca/products/pacorabannefame-woman?variant=39870587306046
PDETTBOUM-50B,159.00,https://fragrancebuy.ca/products/parfumdempiretabactabouextraitdeparfum-man?variant=39862220783678
BVPPQXIIIM-100B,259.00,https://fragrancebuy.ca/products/bottegavenetaparcopalladianoquadrifoglioxiii-man?variant=39862206365758
BVPPCXIM-100B,259.00,https://fragrancebuy.ca/products/bottegavenetaparcopalladianocastagnoxi-man?variant=39862199877694
BVPPQXIIM-100B,259.00,https://fragrancebuy.ca/products/bottegavenetaparcopalladianoquerciaxii-man?variant=39862192537662
BVPARPAIMAGM-100B,259.00,https://fragrancebuy.ca/products/bottegavenetaparcopalladianomagnoliai-man?variant=39878488457278
AFNANTOBRUSHM-80B,67.95,https://fragrancebuy.ca/products/afnantobaccorush-man?variant=39861714124862
AFNANPATONFIRW-80B,68.95,https://fragrancebuy.ca/products/afnanpatchoulionfire-man?variant=39861713797182
AFNANHISOLW-100B,69.95,https://fragrancebuy.ca/products/afnanhistoricolmeda-man?variant=39861713469502
AFNANHISDORW-100B,57.95,https://fragrancebuy.ca/products/afnanhistoricdoria-man?variant=39861712814142
REMRFEMEDPW-100T,39.95,https://fragrancebuy.ca/products/reminiscencerem-woman?variant=39861694660670
REMPFEDTW-100T,39.95,https://fragrancebuy.ca/products/reminiscencepatchouli-woman?variant=39861688533054
REMRHOMEDTM-100T,39.95,https://fragrancebuy.ca/products/reminiscencerem-man?variant=39861686763582
REMODEDPM-100T,39.95,https://fragrancebuy.ca/products/reminiscenceorientaldream-man?variant=39861685747774
REMMUSCEDTM-100T,39.95,https://fragrancebuy.ca/products/reminiscencemusc-man?variant=39861681651774
GREPEXSEM-125B,229.95,https://fragrancebuy.ca/products/guerlainepicesexquises-man?variant=39861674147902
CARBERFELM-50B,179.00,https://fragrancebuy.ca/products/carnerbarcelonafelino-man?variant=39861663662142
CARBARBERM-50B,179.00,https://fragrancebuy.ca/products/carnerbarcelonabestium-man?variant=39861662285886
FROLPDM-100B,35.00,https://fragrancebuy.ca/products/franckolivierpureaddiction-man?variant=39861646983230
MANMOTSM-120B,108.85,https://fragrancebuy.ca/products/manceramelodyofthesun-man?variant=39861621260350
MYPERALFM-100B,21.99,https://fragrancebuy.ca/products/myperfumesarabiyatalfaris-man?variant=39861576007742
BDKCITRM-100B,199.00,https://fragrancebuy.ca/products/bdkcitrusrviera-man?variant=39861566079038
