ourCustomSKU,competitor_price,updated_at_est_time,tags
ICEMM-50B,66.95,2019-10-23 5:10,PRICE2SEP
OBSM-30B,8,2022-06-17 8:04,
MARHABM-125T,204.95,2021-02-08 6:23,"BLACKFRIDAY2021, PRICE2SEP, Update15"
RALULTBLM-125B,82.15,2022-08-11 17:19,"26MAY224, 26MAY228, BLACKFRIDAY2021, NSPRICE9AUG7, PM21J, PM21J1, PRICE2SEP, Update22, Update3, Update8"
MONNEPAOEDPM-100B,92.95,2022-05-26 11:16,"19OCTT21, 26MAY223, BLACKFRIDAY2021, NSPRICE9AUG5, PM21J, PRICE2SEP, Update6"
MUGCIIMPM-80T,118.95,2020-09-28 5:36,"02JULY2020, 27JUN2020, 28JUN2020"
VINCAMSOLM-100B,34,2022-05-28 9:38,"26MAY228, BLACKFRIDAY2021, NSPRICE9AUG6, PM21J, PRICE2SEP, Update10, Update2, Update4"
FERUOMOM-100B,135.95,2022-05-26 15:31,PRICE2SEP
LACNATW-90B,43.95,2021-07-09 11:13,"PM21J, PREXMAS21, PRICE2SEP, Update3, Update4, Update6"
PACBXSNRW-80B,58,2022-10-25 9:45,"NSPRICE16SEP, PREXMAS21, Price170, Update11, Update13"
MANWILM-120B,74,2022-10-08 7:21,"26MAY223, BLACKFRIDAY2021, NSPRICE7OCT22, NSPRICE9AUG5, PM21J, PRICE2SEP, Update15, Update18, Update9"
EAUDMAW-100B,146.95,2022-08-25 5:02,"1DECC2020, 26MAY223, BLACKFRIDAY2021, NS25AUG22, perfume, PO123, Update17, Update7"
BIEAL03M-100B,64.95,2022-09-25 17:12,"MAYPRODUCT, Update5"
GUEGOLDW-75B,34.25,2022-10-22 4:47,"14octt2019, 14octtt2019, 26MAY224, NSPRICE9AUG8, PREXMAS21, Update9"
XERALEXIIM-50B,222.95,2022-10-21 16:27,"1OCT2020, 26MAY224, 26MAY228, 31AUGG2021, BLACKFRIDAY2021, NSPRICE9AUG7, PM21J, PRICE2SEP, Update18, Update19, Update20"
ANGW-25B,17.95,,"1DECC2020, 26MAY221, 27MARR21, Black-Friday, cf-type-women, NP26JUN22, NS19JULY22, NSPRICE21OCT22, NSPRICE9AUG1, perfume, PM21J, PM21J1, Update23"
ETWLBFELEM-30B,58.45,2022-09-09 8:44,"1 JULY 2020, 26MAY223, 28jun2020, newproducts, NS23MAR22, NS25AUG22, perfume, PM21J, Update18"
AMOUMEMOIM-100B,176,2021-07-12 11:15,"12JULYY2021, newproducts, perfume, Update16"
IAMJW-100T,35.95,2022-04-27 1:50,"cf-type-women, perfume"
AMOUJUBILW-100B,254.05,2022-08-22 20:40,"20augg2019, 26MAY228, BLACKFRIDAY2021, Update23"
XERDAMBIW-100T,143,2022-04-01 12:47,"13JULYY, 26MAY224, 31AUGG2021, 3SEP2020, NS17MAY22, NSPRICE9AUG7"
BURBINW-60T,29,2020-12-16 20:32,"PM21J, PRICE2SEP"
