ourCustomSKU,competitor_price,updated_at_est_time,tags
CARBARBOAFUNM-50B,84.25,2022-09-08 0:21,"13JULYY, 1OCT2020, 25JANN2020, BLACKFRIDAY2021, NS21APR22, NS29JULY22, NSPRICE9AUG7, Update14, Update9"
ESCADSOLW-30B,19,2022-02-04 14:36,"BLACKFRIDAY2021, PM21J, PRICESHEET1"
VINCAMAMOREW-100B,57.95,2022-09-10 10:27,"26MAY223, BLACKFRIDAY2021, NSPRICE9SEP, PRICE2SEP, Update12"
MICJM-100B,23.95,2022-10-19 10:13,"BLACKFRIDAY2021, NSPRICE9SEP, PM21J, PRICESHEET1"
PENHEARHELW-75B,197.15,2021-11-20 9:19,"21AUG2020, BLACKFRIDAY2021, PM21J"
CHOVETDHAIM-100B,150.95,2021-10-21 16:18,"1DECC2020, IMAGESFILTER, missingimageaj"
ARMJJMOGRM-100B,24.65,2022-10-12 17:21,"21AUG2020, 26MAY225, BLACKFRIDAY2021, NSPRICE9AUG10, PM21J"
LATOMM-100B,24.95,2022-10-26 2:25,"14SEPP2021, NS19JULY22, NSPRICE9AUG11, PREXMAS21, Update8"
JADETW-75B,84,2021-06-25 11:14,"26MAY22110, Black-Friday, BLACKFRIDAY2021, cf-type-women, perfume, Update12, Update6, Update7"
GUCGBM-50B,87,2022-10-11 13:57,"NS28MAR22NS, NSPRICE23SEP22, Price170"
PACRINVLM-100B,98.95,2022-06-27 3:39,"26MAY224, 26MAY228, 27OCTT2021, JUNE, NS19AUG22, NS20JULY22, NS28MAR22, PM21J, Update1"
MONTALSANTM-100B,96.35,2022-09-20 12:45,"1OCT2020, 26MAY223, BLACKFRIDAY2021, NSPRICE9AUG5, PM21J, PRICE2SEP, Update10, Update15"
PRAM-100T,122.95,2022-10-18 6:15,"26MAY221, 26MAY222, BLACKFRIDAY2021, missingimageaj, NSPRICE9AUG3, PREXMAS21, PRICE2SEP, Update10, Update15, Update4"
JOMALNBHM-100B,120,2021-11-20 9:18,"BLACKFRIDAY2021, PM21J"
AZZWNM-100S,67.95,2020-09-23 14:19,"GiftSetNew1, GiftSets, missingimageaj"
COMPSPAQMW-100B,52.45,2021-10-04 14:55,"newproducts, perfume"
MANWAMUM-120B,109.95,2021-01-03 17:45,"3SEP2020, cf-type-unisex, perfume"
VINCAMCAPRIW-100B,69.15,2022-05-26 11:18,"26MAY223, 3JUNN2021, BLACKFRIDAY2021, NSPRICE9AUG6, PM21J, PRICE2SEP, Update17, Update9"
ROJAOABPRM-30B,871.95,2022-09-08 0:26,"2NOVV2020, BLACKFRIDAY2021, IMAGESFILTER, NSPRICE9AUG10, Update19"
D&GM-125T,45,2022-10-14 0:42,"20julyy2021aj, 26MAY222, 26MAY227, BLACKFRIDAY2021, NS18APR22, NS7MAY, NSPRICE19OCT22, NSPRICE9AUG3, PREXMAS21, Update1, Update2"
TOMFMADAMACM-50B,219.95,2019-10-23 5:16,perfume
RHIREBFLEW-50B,24.25,2022-03-15 10:00,"26MAY222, 3MAYY2021, 9NOVV2020, BLACKFRIDAY2021, cf-type-women, NP17JUN22N, NP19JUN22, NS11MAY2022, NS14APR22, NS15JUL22, NS20JULY22, NSPRICE17SEP22, NSPRICE9AUG3, NSPRICE9SEP, perfume, PM21J, po124, PREXMAS21, Update1, Update2, Update6"
COMCEVABW-100B,58.45,2021-11-09 20:04,"newproducts, perfume"
TOMFBOEDW-50B,141.95,2022-10-22 7:49,"26MAY227, Black-Friday, BLACKFRIDAY2021, cf-type-women, NS13APR, NS19AUG22, NS29AUG22, NS6JUN22, NSPRICE19OCT22, perfume, Update14"
DAIKW-50B,61.95,2020-09-02 10:10,PRICE2SEP
LATWGM-100B,27.95,2022-10-26 1:45,"14SEPP2021, 26MAY226, lattafapol, NSPRICE9AUG11, PREXMAS21, Update13"
TIZTERASSVELM-100B,344,2022-09-18 13:24,"26MAY224, BLACKFRIDAY2021, NSPRICE9AUG7, PRICE2SEP, Update14"
CREDSUBLMVANM-75T,369.95,2022-03-13 22:49,"20augg2019, 25JANN2020, PO123"
CLIAEW-50B,45.95,2021-10-30 20:00,"1DECC2020, 26MAY228, BLACKFRIDAY2021, cf-type-women, NP17JUN22N, NSPRICE20OCT22, NSPRICE9AUG5, perfume, PM21J1, po124"
AMOUREFLECTM-100B,247.05,2022-01-26 10:10,"12JULYY2021, BLACKFRIDAY2021, newproducts, NP26JUN22, perfume"
THMUGAURW-90T,58.95,2021-02-23 18:54,"26MAY228, BLACKFRIDAY2021, NSPRICE9AUG6, PM21J, PRICE2SEP, Update2, Update21"
TOMBVCW-100B,39.65,2022-03-18 2:20,"17MARR21, BLACKFRIDAY2021, Update13"
YBYW-100B,96.75,2021-07-14 12:04,"new, perfume, PM21J"
CARBASALM-100B,141.95,2022-09-02 16:22,"1 JULY 2020, 25JANN2020, 26MAY225, 28jun2020, BLACKFRIDAY2021, NS29AUG22, NS29JULY22, NSPRICE9AUG9, PM21J, Update18"
BVLOCW-40B,43.95,2021-10-08 12:56,"BLACKFRIDAY2021, NS25AUG22, PM21J, PREXMAS21, PRICE2SEP, Update1, Update2"
VERYDW-30B,39.65,2022-03-23 0:16,"25JULY2020, 26MAY221, 26MAY222, 3MAYY2021, BLACKFRIDAY2021, cf-type-women, missingimageaj, NSPRICE9AUG4, perfume, PM21J, PM21J1, Update17, Update2, Update21, Update22"
stiw-50b,23.15,2022-10-12 1:30,"26MAY227, BLACKFRIDAY2021, NP19JUN22, NSPRICE9AUG2, PM21J, PM21J1, PREXMAS21, Price170, Update1, Update21"
LAVEBECLW-75B,77,2022-03-31 13:47,"02JULY2020, 28jun2020, 3NOV2019, 3NOVV2019, Black-Friday, perfume"
ARMCCASHMEW-50B,105,2021-10-20 10:28,"19OCTT21, cf-type-women, perfume, Update12"
ESCTSHW-100T,59.95,2022-03-23 6:09,"Black-Friday, cf-type-women, perfume"
POLBLEDDPM-125B,97.95,2022-10-09 19:23,"26MAY228, BLACKFRIDAY2021, NSPRICE23SEP22, NSPRICE26SEP22, NSPRICE9AUG5, PM21J, PREXMAS21, PRICE2SEP, Update17, Update22"
NIKMOW-50B,22.45,2022-06-03 11:27,"22NOVV2020, June23, PM21J, PREXMAS21, Update6"
JOYEW-75B,134.95,2022-07-21 21:41,"26MAY223, 3JULY, NS19AUG22"
MONTHONEW-100T,68.95,2022-07-13 12:49,"20julyy2021aj, 26MAY228, BLACKFRIDAY2021, NSPRICE9AUG5, Update22, Update6"
JPGPRIDEM-125B,89.15,2022-10-20 22:46,"26MAY225, 28jun2020, BLACKFRIDAY2021, NSPRICE9AUG9, PM21J, PREXMAS21, PRICECHECk, Update16"
273M-75B,18.45,2022-07-24 23:45,"28sep2020, Update2"
BALAMBOUDM-100B,52.85,2021-11-27 16:03,"BLACKFRIDAY2021, mayy19"
FRAKAQVITM-70B,143,2022-09-08 0:22,"26MAY228, BLACKFRIDAY2021, NSPRICE9AUG6, PRICE2SEP, Update23"
RASAMBOUDM-14B,29.45,2022-07-28 16:15,"14aprr2021, 3MAYY2021, BLACKFRIDAY2021, PREXMAS21, Update13, Update15"
ARMSM-100B,26.65,2022-09-01 14:27,"BLACKFRIDAY2021, NSPRICE9AUG6, PM21J, PREXMAS21, PRICE2SEP, Update2"
MONGUERFLW-100B,81,2021-06-16 10:40,"3JUNN2021, BLACKFRIDAY2021, perfume, Update7, Update9"
SWIAPRIVMM-12B,41.95,2022-10-20 3:14,"11JANN2021, 9NOVV2020, NS19JULY22, Update16"
FLEDRW-100B,76.65,2021-12-24 10:03,"28jun2020, BLACKFRIDAY2021, PRICECHECk"
MEMRLM-70B,203.45,2022-10-16 19:43,"26MAY223, BLACKFRIDAY2021, NSPRICE9AUG6, PRICE2SEP, Update23"
BOSORANM-100T,33.45,2022-10-20 16:24,"20julyy2021aj, 26MAY227, BLACKFRIDAY2021, NS20JULY22, NSPRICE9AUG2, Update2, Update21"
ATEEMEM-200B,182,2022-02-23 1:09,"BLACKFRIDAY2021, perfume, PM21J1, Update19, Update23"
ACQDPCOLOUDM-180B,97.95,2020-11-30 22:27,PRICE2SEP
SWIARASHM-50B,24.95,2022-08-07 1:33,"11JANN2021, 9NOVV2020, BLACKFRIDAY2021, Update17, Update8"
MFKGTZINCM-11B,86.95,2021-06-29 22:03,"newproducts, perfume"
CREROYOUDM-100B,399.95,2021-09-12 8:33,"02JULY2020, 28jun2020, 6AUGG2021, cf-type-women, perfume"
AZZWABNM-100B,56.45,2022-06-19 1:04,"BLACKFRIDAY2021, NS11MAY2022, NS7MAY, PM21J, PM21J1, po124, PRICE2SEP, Update4"
RASSOWAM-100B,56.45,2022-10-22 4:47,"26MAY223, 3MAYY2021, NP18JUN22, PM21J, PREXMAS21, PRICE2SEP, Update19"
MOGHOTCOLM-80B,108,2022-06-15 21:04,"02JULY2020, 26MAY225, 27JUN2020, 28JUN2020, BLACKFRIDAY2021, PM21J, Update15"
COADRM-90B,63.95,2022-07-15 11:49,"22OCCT2020, 28jun2020, BLACKFRIDAY2021, NS7MAY, PRICECHECk, Update15"
BLUSM-100T,20.95,2022-09-08 0:20,"14octt2019, 14octtt2019, 19MAYY2020, 22AUG2020, 26MAY224, 26MAY228, BLACKFRIDAY2021, NS2AUG22, NSPRICE21OCT22, NSPRICE9AUG8, PREXMAS21, Update21"
MUGABTMW-50B,53.45,2021-04-09 15:54,"26MAY228, BLACKFRIDAY2021, NSPRICE9AUG6, PM21J, PRICE2SEP, Update2, Update21"
STELLAEDTW-100B,75.95,2022-10-22 4:47,"14SEPP2021, 19OCTT21, 26MAY225, 9NOVV2020, NS15JUL22, NSPRICE23SEP22, Update11, Update12"
BVLGTRNW-75B,57,2022-04-04 11:14,"6AUGG2021, PRICE2SEP, Update10, Update6"
NASBUROM-100B,135,2021-05-14 5:57,"27JUN2020, 28JUN2020, BLACKFRIDAY2021, Update12"
VERWRW-100B,41.45,2022-10-22 4:46,"26MAY224, NSPRICE9AUG7, PREXMAS21, PRICE2SEP, Update17"
XERJMUSM-100T,169.95,2022-10-06 22:34,"1OCT2020, 26MAY225, 26MAY229, 3SEP2020, BLACKFRIDAY2021, NSPRICE9AUG10, PM21J, Update10, Update23"
MANCLEMLM-120T,107.95,2022-08-23 23:34,"19MAYY2020, 27OCTT2019, cf-type-unisex, NP16JUN22, NP18JUN22, NS11aug22, NS19APR22, NS29AUG22, NSPRICE7OCT22, perfume"
TOMFORTUSLEWEM-100B,373.45,2022-04-07 16:06,"02JULY2020, 27OCTT2021, 28jun2020, Black-Friday, BLACKFRIDAY2021, perfume, Update14, Update16"
CREERM-100B,259,2022-09-13 9:32,"15DECC2019, 25JANN2020"
MONTCHOCGM-100T,89.95,2022-03-21 14:19,"16NOVV2020, 3SEP2020, Update9"
LATMAHM-100B,28.95,2022-10-26 2:17,"14SEPP2021, lattafapol, NS17MAY22, NS19JULY22, NSPRICE9AUG11"
PEREAM-150B,30.05,2022-10-22 14:35,"26MAY221, BLACKFRIDAY2021, cf-type-men, NSPRICE9AUG2, perfume, PM21J, Update7"
JULGUNMMW-100B,106.45,2022-08-30 4:24,"26MAY223, BLACKFRIDAY2021, newproducts, NSPRICE9AUG6, perfume, Update14"
FLEDRW-50B,50.95,2021-01-27 14:50,"28jun2020, BLACKFRIDAY2021, PRICECHECk"
EAUSAUPARM-100B,139,2022-10-24 10:57,"Black-Friday, cf-type-men, NSPRICE19OCT22, perfume"
FRAKOUDSATMEM-70B,272,2019-10-23 5:02,"newproducts, perfume"
CIGM-100B,18.55,2022-10-20 21:06,"19OCTT21, 26MAY223, BLACKFRIDAY2021, NS15JUL22, NSPRICE20OCT22, NSPRICE9AUG6, PRICE2SEP, Update2"
BIEO01EDPM-100B,69.75,2022-10-23 20:37,"MAYPRODUCT, PM21J, Update10"
AMOUAGEOPUS1W-100B,145,2022-09-28 13:53,"20augg2019, BLACKFRIDAY2021, NS29AUG22, NSPRICE9AUG7, PM21J, Update16"
RASLAYAM-75B,81.95,2022-10-23 22:54,"26MAY223, BLACKFRIDAY2021, NS19AUG22, PM21J, PRICE2SEP, Update19"
RYLCRWMYOUDM-100B,286.55,2022-09-08 0:26,"13JULYY, 20AUG2020, 26MAY224, BLACKFRIDAY2021, NSPRICE9AUG7, PM21J, Update20"
CHOPAGRM-100B,197.95,2022-07-08 15:55,"3MAYY2021, Update18"
MONBLEGMNIM-100T,43.45,2022-06-29 11:16,"26MAY223, BLACKFRIDAY2021, PM21J, PREXMAS21, PRICE2SEP, Update1, Update13"
ETATLIBSOMEONEM-100B,111.45,2022-07-25 9:17,"18JANN22, newproducts, NS19APR22, NS25AUG22, NS29AUG22, perfume, PM21J1, Update14, Update16"
GUELAPERNBPW-100B,78.45,2022-09-22 13:39,"20augg2019, 22OCCT2020, 26MAY228, 3MAYY2021, BLACKFRIDAY2021, NSPRICE9AUG7, Update22, Update7"
MONDDM-100B,81.95,2022-02-14 0:20,"18novv2019, 20augg2019, NSPRICE9AUG7, Update14, Update15, Update19"
EAUDROM-100B,34,2022-10-17 12:39,"cf-type-men, NP26JUN22, NS25AUG22, NS2AUG22, NSPRICE23SEP22, perfume, PREXMAS21, Update12"
MONTALAUMW-100B,95.95,2022-10-22 11:56,"1OCT2020, 26MAY223, 27OCTT2019, BLACKFRIDAY2021, cf-type-unisex, NSPRICE9AUG5, perfume, PM21J, Update12, Update5"
TIZTECSTM-100T,96.45,2022-04-03 8:35,"26MAY224, 31MAYY2020, BLACKFRIDAY2021, mayy19, NSPRICE9AUG7, PM21J, Update11"
JIMCLEAUW-90T,43.45,2021-05-26 4:21,"25MAYY2021, PRICE2SEP, Update10"
MAITAGEPROVW-100B,41.25,2021-09-27 8:57,"PM21J, PRICE2SEP"
AJMSHIM-75B,24.75,2022-10-15 2:24,"13JULYY, PM21J"
GIVGMM-50B,73.95,,"13OCTT2021, 28sep2020, BLACKFRIDAY2021, NSPRICE17SEP22, NSPRICE9SEP, pictures, PM21J, PRICESHEET1, Update1, Update13"
MANCEBM-120B,107.95,2022-10-24 17:15,"NP16JUN22, NP18JUN22, NP26JUN22, NS11aug22, NS19APR22, NSPRICE7OCT22, NSPRICE9AUG5, PM21J, PREXMAS21, PRICE2SEP, Update14"
ATEOIFM-100B,185.45,2022-09-23 14:50,"13JULYY, 26MAY228, BLACKFRIDAY2021, NSPRICE16SEP, NSPRICE9AUG7, Update23"
ACQDPBMBDCM-150T,97.95,2022-06-18 11:54,"1augg2019, 26MAY223, 3MAYY2021, BLACKFRIDAY2021, NOV, NSPRICE9AUG6, PM21J, Update11, Update3"
XERCRDSURIIM-50B,215.95,2022-10-25 10:03,"1OCT2020, mayy19"
PACBXM-100T,58.95,2022-10-25 17:56,"26MAY221, 26MAY227, 5DECC21, BLACKFRIDAY2021, NP19JUN22, NS19JULY22, NS29JULY22, NS2AUG22, NSPRICE16SEP, NSPRICE9AUG2, PM21J, PREXMAS21, Price170, Update1, Update21, Update22"
CREROYMAYM-100B,284.45,2022-09-16 0:48,"1OCT2020, 26MAY228, 3JUNN2021, BLACKFRIDAY2021, PRICE2SEP, Update23"
MUGCOMTM-100B,57.95,2021-09-11 22:37,"02JULY2020, 1DECC2020, 28jun2020, PM21J1"
BURBM-100B,43.85,2022-10-24 11:48,"26MAY221, BLACKFRIDAY2021, NS11MAY2022, NS19JULY22, NS20JULY22, NSPRICE19OCT22, NSPRICE9AUG2, PM21J, PREXMAS21, PRICE2SEP, Update13, Update2, Update3"
PRALFLEUW-100B,87.25,2022-09-16 4:20,"26MAY223, 26MAY228, 5DECC21, BLACKFRIDAY2021, new, NS20JULY22, NSPRICE16SEP, NSPRICE9AUG5, perfume, Update12, Update14, Update22"
ATELOOLINM-100B,134.95,2019-10-23 4:54,perfume
MANPFM-100T,81.45,2022-10-15 19:34,"20julyy2021aj, 26MAY228, BLACKFRIDAY2021, NS11aug22, NS29JULY22, NSPRICE9AUG7, Update22"
CALEW-100B,93.95,,"25MAYY2021, 26MAY22110, 26MAY222, 26MAY227, cf-type-women, NSPRICE9AUG3, perfume, Update22, Update3, Update7"
TERRGUROIW-100B,189.95,2020-07-13 1:01,perfume
CLEANWARCOTW-60B,39,2021-05-14 5:54,"14octt2019, 25JANN2020, MAYPRODUCT, Update5"
FLOPW-100B,27.55,2022-10-17 2:18,"26MAY223, BLACKFRIDAY2021, NSPRICE9AUG5, PM21J, PREXMAS21, PRICE2SEP, Update5"
DIPOPM-75B,212.95,2022-06-16 11:06,"1DECC2020, 26MAY226, Update23"
ADIPW-50B,11.95,2020-07-15 2:29,"cf-type-women, perfume"
LATADAMAKGOLM-100B,20.45,2022-10-26 1:50,"14SEPP2021, NS19JULY22, PREXMAS21, Update14"
CABORW-100B,14.45,2022-10-13 20:06,
MILHALAFUARAW-100B,178.95,2020-09-02 10:13,PRICE2SEP
PRACSUPOEDPW-80B,60,2022-07-27 10:37,"26MAY223, 26MAY228, BLACKFRIDAY2021, new, NSPRICE16SEP, NSPRICE9AUG5, perfume, PM21J1, PREXMAS21, Update22, Update6"
PENHTHEROFLBLW-75B,291.95,2022-05-26 11:17,"26MAY225, 31MAYY2020, BLACKFRIDAY2021, Update16"
LALFLEDCRYW-100B,51.25,2021-12-13 11:24,"12DECC2020, 31MAYY2020, BLACKFRIDAY2021"
LATBADALOUDM-100B,26.45,2022-10-26 2:17,14SEPP2021
ENCFM-100T,36.95,2022-10-22 4:47,"MAYPRODUCT, PREXMAS21, Update11"
VALENPOUDW-80B,97.45,2022-04-24 11:21,"13OCTT2021, 26APRIL20, NSPRICE16SEP"
JPGSCAPARW-80B,92.75,2022-04-19 9:19,"28jun2020, BLACKFRIDAY2021, PM21J, PRICECHECk"
SALFAMOW-100B,57.15,2022-10-22 5:27,"1OCT2020, 26MAY223, BLACKFRIDAY2021, NP18JUN222, NSPRICE9AUG6, PM21J, PREXMAS21, PRICE2SEP, Update3, Update4"
MONFMM-100B,93.95,2022-05-26 11:16,"20augg2019, 26MAY223, cf-type-unisex, NSPRICE9AUG5, perfume, Update16, Update5"
NINELIXW-80B,48,2022-05-26 12:49,"13OCTT2021, 26MAY221, BLACKFRIDAY2021, cf-type-women, perfume, Update3"
AMOUBELOWVW-100B,209.95,2020-12-07 15:56,"13JULYY, 20augg2019, 26MAY224, NS29AUG22, PO123"
MONAOFLM-100B,105.95,2022-05-26 11:16,"26MAY223, BLACKFRIDAY2021, NSPRICE9AUG5, PM21J, PRICE2SEP, Update15, Update19"
ALYASHMW-50T,11,2021-11-20 9:15,"9NOVV2020, BLACKFRIDAY2021, NS15JUL22, NSPRICE9AUG1, PM21J, PRICESHEET1, Update1"
VANCBODOREDPM-75B,168.95,2022-10-03 1:36,"13JULYY, NS29AUG22, NS29JULY22"
FFERBLAKM-50B,29.95,2022-10-25 19:23,"26MAY227, BLACKFRIDAY2021, NS11MAY2022, NS14APR22, NS19AUG22, NSPRICE9AUG2, PM21J, PREXMAS21, PRICESHEET1, Update1, Update21"
VCANCOGEM-100B,91.45,2022-09-26 14:52,"24octt2019, 26MAY229, BLACKFRIDAY2021, IMAGESFILTER, missingimageaj, NSPRICE9AUG8, PM21J, Update2"
ARMOPUSM-100B,23,2022-09-08 0:20,"26MAY224, 5 JULY, BLACKFRIDAY2021, NSPRICE9AUG7, PM21J, PREXMAS21, Update1"
BANRWILROW-100B,20,2022-10-01 21:14,"26MAY229, 9NOVV2020, BLACKFRIDAY2021, NSPRICE9AUG10, PM21J1, Update21"
POLGM-118T,68.25,2022-10-25 11:54,"26MAY222, 26MAY227, BLACKFRIDAY2021, NSPRICE9AUG3, PM21J1, PREXMAS21, PRICE2SEP, Update22, Update23"
XERHOMM-50B,345.95,2022-09-08 0:27,"1OCT2020, 31AUGG2021, NSPRICE9AUG10, Update19, Update20"
FAQLRRASM-50B,36.95,2022-10-12 17:21,"14aprr2021, 26MAY226, 3MAYY2021, BLACKFRIDAY2021, IMAGESFILTER, NSPRICE9AUG11, PREXMAS21, Update14"
FRABCEDM-100B,104.75,2022-09-17 11:04,"25NOVV2020, 26MAY225, BLACKFRIDAY2021, NSPRICE9AUG10, PM21J, Update10"
FRAKAMRYM-70B,231.95,2021-10-19 1:27,"19OCTT21, newproducts, NS21APR22, perfume, PM21J"
XERJSHUNM-50T,102,2022-08-30 13:35,"20julyy2021aj, 26MAY225, BLACKFRIDAY2021, NSPRICE9AUG10, Update18, Update20"
JADETW-100T,97.95,2022-06-06 7:34,"26MAY22110, Black-Friday, BLACKFRIDAY2021, cf-type-women, perfume, Update12, Update6, Update7"
NISKARM-50T,139.95,2022-06-15 12:13,"20julyy2021aj, 26MAY225, 26MAY229, BLACKFRIDAY2021, NSPRICE9AUG9, Update12, Update23"
CREEROYMAYM-75B,174.95,2021-12-24 1:41,"1OCT2020, 26MAY228, 3JUNN2021, BLACKFRIDAY2021, PRICE2SEP, Update23"
ROJNUPM-100B,660,2022-09-25 7:05,"2NOVV2020, BLACKFRIDAY2021, NSPRICE9AUG10, Update20"
ESCIKW-30B,24.75,2021-03-17 12:04,"1DECC2020, cf-type-women, perfume"
MEMORLM-75B,175,2022-09-08 0:24,"26MAY225, 31MAYY2020, BLACKFRIDAY2021, NSPRICE9AUG9, Update23"
CORIANDEDW-100B,36.45,2022-10-11 16:04,"cf-type-women, NS11MAY2022, NSPRICE9AUG5, perfume, PM21J"
ARMBOINUITM-100B,31.45,2022-10-04 23:58,"Black-Friday, BLACKFRIDAY2021, NS17MAY22, perfume, Update2"
BONBW-50B,97.95,2022-10-07 11:12,"26MAY222, 26MAY228, AUG12, BLACKFRIDAY2021, cf-type-women, NS19APR22, NS25MAR22, NSPRICE9AUG4, perfume, PM21J, Update23"
ROBPBW-100B,79.95,2021-02-08 6:32,PRICE2SEP
LALIQHOMM-100B,49.95,2022-03-11 12:54,13JULYY
FRABINCM-100B,104.75,2022-09-17 3:21,"25NOVV2020, 26MAY225, BLACKFRIDAY2021, NSPRICE9AUG10, PM21J, Update14"
ETAHEREDPM-30B,39.95,2021-07-11 23:59,"26MAY223, BLACKFRIDAY2021, newproducts, NSPRICE9AUG6, perfume, PM21J, Update6"
FRAKPETIMM-70B,275.95,2022-09-23 13:23,"26MAY228, BLACKFRIDAY2021, PRICE2SEP, Update23"
ROGGALTUBHEDM-100B,56.15,2022-01-06 18:45,"1aug2020, BLACKFRIDAY2021, IMAGESFILTER, PM21J"
UNMATOGEW-100B,91.45,2020-05-30 16:48,13JULYY
XERDOLAMAM-100B,185.45,2022-09-18 9:36,"26MAY228, 31AUGG2021, 3SEP2020, BLACKFRIDAY2021, mayy19, NSPRICE9AUG7, Update15, Update17, Update18, Update19, Update20"
ARMAFITALBLUM-100B,22.95,2021-08-16 15:35,"IMAGESFILTER, perfume"
ARMBLUXM-100B,28.25,2022-09-27 20:06,"26MAY223, Black-Friday, BLACKFRIDAY2021, NSPRICE9AUG6, perfume, PM21J, Update21"
AURMUGLERW-90B,84.25,2022-07-15 12:11,"26MAY228, BLACKFRIDAY2021, NSPRICE9AUG6, PM21J, PRICE2SEP, Update2, Update21"
MEMIITLM-75B,232.95,2022-10-02 21:54,"newproducts, NSPRICE9AUG6, perfume, PO123"
KATPMLW-100T,18.15,2022-05-17 17:32,"BLACKFRIDAY2021, NP19JUN22, NP21JUN22, NSPRICE21OCT22, NSPRICE26SEP22, NSPRICE9AUG4, PM21J, PRICE2SEP"
PENHVAARW-100B,106.95,2021-06-18 4:42,"13JULYY, 20AUG2020"
NASAFRMUSM-100B,147.55,2022-09-08 0:25,"26MAY229, 27JUN2020, 28JUN2020, BLACKFRIDAY2021, NSPRICE9AUG9, PM21J1, Update23"
ISSNASM-125B,49.25,2022-10-24 12:56,"13MAY2020, BLACKFRIDAY2021, NSPRICE9AUG9, PM21J, PREXMAS21, Update17, Update4"
LAUBRPAM-125B,43.45,2022-05-28 9:38,"26MAY228, BLACKFRIDAY2021, June23, NSPRICE9AUG7, Update21"
BVLPFETW-50B,49,2019-11-15 13:18,"16June, cf-type-women, perfume"
HEAOHW-100B,19.95,2021-01-11 7:27,"new, perfume"
JULHGVVW-50B,89.25,2022-07-05 23:02,"20AUG2020, 24octt2019, 25MAYY2021, BLACKFRIDAY2021, NS29JULY22, NS6MAY, PM21J, Update14"
HUGBBOUDM-100B,77.25,2022-10-13 17:49,"19OCTT21, 26MAY223, NS25AUG22, NSPRICE9AUG6, PREXMAS21, PRICE2SEP, Update12, Update2"
HERTWILPOIVRW-85B,96.15,2022-03-12 14:04,"31MAYY2020, BLACKFRIDAY2021, PM21J1, Update22"
JACSW-100B,99.95,2020-07-20 11:26,"22JUN2020, 28jun2020, new, perfume"
BOTTVM-50B,97.95,2020-06-30 10:56,"1 JULY 2020, 28jun2020, Black-Friday, perfume"
ARMAFVOYVBROM-100B,35.95,2022-10-15 16:15,"5 JULY, NS17MAY22, NSPRICE9AUG7"
