ourCustomSKU,competitor_price,updated_at_est_time,tags
MERBW-90B,40.95,2022-04-14 12:43,"22AUG2020, 25JANN2020, missingimageaj, Update5"
VERFM-30B,35.45,2022-07-18 14:15,"26MAY221, 26MAY222, 26MAY228, BLACKFRIDAY2021, missingimageaj, NS19AUG22, NS7MAY, NSPRICE19OCT22, NSPRICE9AUG4, PM21J, PM21J1, PREXMAS21, PRICE2SEP, Update21, Update22"
ETEAM-200B,44.75,2022-10-18 13:18,"26MAY221, 26MAY227, BLACKFRIDAY2021, NP19JUN22, NS15JUL22, NSPRICE9AUG1, PM21J, PREXMAS21, PRICESHEET1, Update2, Update21, Update8"
VCANMASBM-100B,92.25,,"12JULYY2021, 24octt2019, 26MAY229, BLACKFRIDAY2021, NSPRICE16SEP, NSPRICE9AUG8, Update13, Update22"
NISHSWM-50T,126.95,2022-09-29 0:55,"19MAYY2020, 25NOVV2020, 26MAY229, BLACKFRIDAY2021, NP26JUN22, NSPRICE9AUG9, PM21J, Update19, Update23"
NARRW-50B,58.95,2021-10-31 21:17,"13OCTT2021, 26MAY22110, BLACKFRIDAY2021, cf-type-women, NSPRICE21OCT22, NSPRICE9AUG1, perfume, PREXMAS21, Update6, Update7, Update9"
CHCW-100B,86.15,2022-10-19 9:16,"26MAY222, 26MAY227, BLACKFRIDAY2021, PREXMAS21, PRICE2SEP, Update1"
XERJOFMUSM-50B,140.75,2022-09-12 8:27,"1OCT2020, 26MAY225, 26MAY229, 3SEP2020, BLACKFRIDAY2021, NSPRICE9AUG10, PM21J, Update10, Update23"
MISDBLOOBETW-50B,94.95,2022-10-19 16:27,"26MAY221, BLACKFRIDAY2021, NSPRICE9AUG1, PM21J, PRICESHEET1, Update12, Update15"
PASNOIRM-100B,74.95,2022-07-27 8:37,"13OCTT2021, 18JANN22, 26MAY221, BLACKFRIDAY2021, NS2AUG22, PM21J, PRICESHEET1, Update10, Update15, Update7"
CREAOVETGM-100B,280.95,2021-07-15 2:38,12DECC2020
BVLMAIBEM-100B,66.75,2021-02-15 14:59,10DECC2019
XERCOMEDPM-100B,17.99,2022-10-14 5:49,"1 JULY 2020, 26MAY224, 28jun2020, 31AUGG2021, 3SEPP2019, BLACKFRIDAY2021, NSPRICE9AUG8, Update10, Update19, Update20"
LATSUQEDPM-100B,28.45,2022-09-17 1:45,
TOMFMADAMACM-50B,219.95,2019-10-23 5:16,perfume
ARMCLUBNUITREGW-105B,33.45,2022-10-22 22:46,"10OCT2020, 5DECC21, IMAGESFILTER, missingimageaj, NS17MAY22, NS2AUG22, NSPRICE7OCT22, PM21J, PREXMAS21, PRICE2SEP, Update11, Update21, Update6, Update7"
WINM-100B,20.55,2022-08-04 15:59,"20julyy2021aj, 26MAY223, 6AUGG2021, BLACKFRIDAY2021, Update4, Update7"
FFERBLAMM-30B,25.95,2022-07-03 6:24,"26MAY227, BLACKFRIDAY2021, NS11MAY2022, NS14APR22, NS19AUG22, NSPRICE9AUG2, PM21J, PREXMAS21, PRICESHEET1, Update1, Update21"
ANNSSWW-75T,37.25,2022-10-21 16:21,"26MAY222, cf-type-women, NSPRICE9AUG4, perfume, PREXMAS21, Update7"
BURFW-100B,46.25,2022-10-22 16:41,"26MAY221, BLACKFRIDAY2021, NP18JUN222, NS19AUG22, NS20JULY22, NS25MAR22, NSPRICE9AUG3, PM21J, PREXMAS21, PRICE2SEP, Update5"
MISDCETDTW-100B,113.95,2022-10-11 14:34,"BLACKFRIDAY2021, cf-type-women, NSPRICE9AUG1, perfume, PM21J, Update14, Update8"
ESCCITNAW-100T,48,2019-11-06 12:26,"cf-type-women, perfume"
D&GTOM-100T,60.95,2022-10-21 20:17,"22OCCT2020, 26MAY222, 26MAY227, BLACKFRIDAY2021, NP18JUN22, NS19AUG22, NSPRICE19OCT22, NSPRICE23SEP22, NSPRICE9AUG3, PM21J, PM21J1, PREXMAS21, PRICE2SEP, Update1, Update21, Update3, Update9"
PACIM-100B,95.95,2022-10-20 12:28,"26MAY222, 26MAY227, 27OCTT2021, BLACKFRIDAY2021, NS15JUL22, NS18APR22, NS19APR22, NS19AUG22, NS25AUG22, NSPRICE23SEP22, NSPRICE9AUG4, PM21J, PM21J1, PREXMAS21, PRICE2SEP, Update11, Update16, Update22, Update5"
HUGBSOM-90B,71.45,2022-07-21 14:35,"BLACKFRIDAY2021, PRICESHEET1"
ATCOPALIABM-100B,84.25,,"1DECC2020, 26MAY226, 6AUGG2021, BLACKFRIDAY2021, Update14, Update23"
HUGBUNLM-50B,34.95,2022-05-28 9:36,"20julyy2021aj, 26MAY221, 26MAY227, BLACKFRIDAY2021, NSPRICE19OCT22, NSPRICE9AUG2, PREXMAS21, Update2, Update21, Update4, Update5, Update6"
ADITFM-100B,6.85,2022-10-22 13:26,"26MAY22110, BLACKFRIDAY2021, cf-type-men, perfume, PM21J, PREXMAS21, Update1"
ACQDGEM-100B,189.99,2021-02-08 5:55,"Black-Friday, cf-type-men, perfume"
ANGETDRW-100T,74.25,2022-08-04 11:49,"2020-06-30 00:00:00 -0400, 26MAY225, 28jun2020, BLACKFRIDAY2021, Update10"
MONBLW-75B,36.95,2019-10-23 5:09,"cf-type-women, perfume"
CALMM-100B,33.95,2022-10-19 16:31,"26MAY227, 3JUNN2021, Black-Friday, BLACKFRIDAY2021, cf-type-men, LAND17MAR, NS2AUG22, NSPRICE26SEP22, NSPRICE9AUG4, perfume, po124"
GIVGOCASCM-100B,159.99,2022-10-20 19:03,"cf-type-men, perfume"
escmsm-50b,38.45,2019-10-24 14:31,"cf-type-men, perfume"
MONAOUMW-50B,70.55,2021-11-23 7:49,"1OCT2020, 26MAY223, 27OCTT2019, BLACKFRIDAY2021, cf-type-unisex, NSPRICE9AUG5, perfume, PM21J, Update12, Update5"
MICKW-50B,63.95,2022-06-10 22:59,"26MAY227, NSPRICE9AUG3, PRICE2SEP"
CRETABAROM-100B,385.95,2022-09-24 9:25,"14octt2019, 14octtt2019, BLACKFRIDAY2021, NS29AUG22, NSPRICE23SEP22, PM21J1"
MANJUICFW-120T,97.95,2022-10-11 12:00,"25MAYY2021, 26MAY226, 26MAY229, NSPRICE7OCT22, Update17, Update23"
SHAETW-100B,75.55,2022-06-21 19:24,"15july2020, 26MAY227, BLACKFRIDAY2021, cf-type-women, perfume, PM21J, Update5, Update9"
DALIMIXW-50B,43.95,2019-10-23 4:59,"cf-type-women, perfume"
TOMFVAFAM-100B,349.95,2022-03-18 6:24,"02JULY2020, 22AUG2020, 28jun2020"
JUICORRW-100T,52.25,2022-09-08 0:23,"24octt2019, 3NOV2019, 3NOVV2019, BLACKFRIDAY2021, NSPRICE9AUG8, PM21J, PREXMAS21, Update5, Update7"
CHPRIVEM-100S,103.95,2021-08-12 12:50,"cf-type-men, GiftSetReady, GiftSets, OLDGIFTSETS, perfume"
VPHDYLBLUM-200B,119.95,2022-10-21 13:03,"1JULYY2021, 26MAY221, 26MAY22110, 26MAY222, 26MAY228, 3JUNN2021, Black-Friday, BLACKFRIDAY2021, cf-type-men, missingimageaj, NEWITEMS15JULYY21, NP18JUN22, NS18APR22, NS29JULY22, NS7MAY, NSPRICE23SEP22, NSPRICE9AUG4, perfume, PM21J1, Update22, Update3, Update4"
PINOUDABSM-125B,23.75,2022-04-06 21:36,"22JUN2020, 26APRIL20, 28jun2020, BLACKFRIDAY2021, PM21J, Update5"
SALFUOMSIGEDPM-100B,64.45,2022-10-01 22:17,"14octt2019, 14octtt2019, 1DECC2020, BLACKFRIDAY2021, Update11, Update16"
HUMM-125T,14,2019-11-04 12:50,"22NOVV2020, 26MAY222, BLACKFRIDAY2021, PM21J, PREXMAS21, PRICE2SEP, Update3, Update9"
JIMCM-100B,49,2022-10-18 21:28,"20julyy2021aj, 26MAY221, 26MAY222, 26MAY227, BLACKFRIDAY2021, NP18JUN222, NP19JUN22, NS19AUG22, NS20JULY22, NS21APR22, NS2AUG22, NS6MAY, NSPRICE19OCT22, NSPRICE9AUG3, po124, PREXMAS21, Update22, Update3, Update7"
UNJEMW-50B,79.75,2022-02-03 22:36,"25MAYY2021, 26MAY228, Black-Friday, BLACKFRIDAY2021, cf-type-women, perfume, PM21J1"
360PEREREM-100B,27.65,2022-09-24 20:38,"BLACKFRIDAY2021, NSPRICE9AUG2, PM21J, PREXMAS21, PRICESHEET1, Update3"
PRETTYARDW-100B,24.35,2022-10-21 20:10,"12FEBB2021, 26MAY221, BLACKFRIDAY2021, NS11MAY2022, NS19AUG22, PM21J, Price170, Update1"
BANRBLABWLLM-100B,27.65,2022-04-04 16:45,"14octt2019, 14octtt2019, BLACKFRIDAY2021, PM21J, Update1"
NASOMBLAM-30B,142.45,2022-09-08 0:25,"15novv2019, 27OCTT2021, NP15JULY, NSPRICE9AUG8, Update17"
CASMW-100B,34.05,2022-05-26 11:13,"26MAY222, BLACKFRIDAY2021, PM21J, PRICE2SEP, Update3, Update7"
MONBLM-30B,33.95,2022-10-13 2:09,"20julyy2021aj, 26MAY221, 26MAY22110, 26MAY227, BLACKFRIDAY2021, NOVV21, NP19JUN22, NP21JUN22, NS15JUL22, NS19APR22, NS19AUG22, NS19JULY22, NS25AUG22, NS25MAR22, NSPRICE17SEP22, NSPRICE23SEP22, NSPRICE26SEP22, NSPRICE9AUG1, NSPRICE9SEP, PREXMAS21, Update1, Update13, Update3, Update4"
